Currency,Campaign Group Name,Campaign Group Status,Campaign Name,Campaign Objective,Campaign Type,Campaign Status,Cost Type,Total Budget,Campaign Start Date,Campaign End Date,Total Spent,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Reactions,Comments,Shares,Follows,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Viral Clicks,Viral Reactions,Viral Comments,Viral Shares,Viral Follows,Viral Other Clicks,Conversions,Post-Click Conversions,View-Through Conversions,Conversion Rate,Cost per Conversion,Total Conversion Value,Return on Ad Spend,Viral Conversions,Viral Post-Click Conversions,Viral View-Through Conversions,Leads,Lead Forms Opened,Lead Form Completion Rate,Cost per Lead,Video Plays,Video Views,Video View Rate,Video Views at 25%,Video Views at 50%,Video Views at 75%,Video Completions,Video Completion Rate,Full Screen Plays,eCPV,Viral Video Plays,Viral Video Views,Viral Video Views at 25%,Viral Video Views at 50%,Viral Video Views at 75%,Viral Video Completions,Viral Video Completion Rate,Viral Video Full Screen Plays,Reach,Average Frequency,"Cost per 1,000 People Reached",Event Registrations,Click Event Registrations,View Event Registrations,Viral Event Registrations,Viral Click Event Registrations,Viral View Event Registrations,Average Daily Spend,Clicks to Landing Page,Clicks to LinkedIn Page,Leads (Work Email),Lead Form Completion Rate (Work Email),Cost Per Lead (Work Email),Member Follows
USD,FY24 Investment,Paused,ABN Black History Month Blog Post Promo - FY25 Q1 [NAMER],Website visits,Sponsored Update,Completed,CPM,"2,500.00",2/28/24,3/6/24,"2,500.00",58103,255,0.44%,43.03,9.8,36,0,1,0,195,232,601,1.03%,54,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,,,,,,,,,,,,,,,,,,,28247,2.057,88.5,0,0,0,0,0,0,27.78,255,114,0,0%,0,0
USD,FY24 Investment,Paused,ABN Black History Month Blog Post Promo - FY25 Q1 [APAC/ASEAN],Website visits,Sponsored Update,Completed,CPM,"1,000.00",2/28/24,3/6/24,"1,000.00",133151,592,0.45%,7.51,1.69,107,0,0,0,1106,1213,2081,1.56%,45,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,,,,,,,,,,,,,,,,,,,58174,2.289,17.19,0,0,0,0,0,0,11.11,592,276,0,0%,0,0
USD,FY24 Investment,Paused,ABN Black History Month Blog Post Promo - FY25 Q1 [EMEA],Website visits,Sponsored Update,Completed,CPM,"1,519.23",2/28/24,3/6/24,"1,519.23",50112,186,0.37%,30.32,8.17,26,0,0,0,175,201,481,0.96%,25,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,,,,,,,,,,,,,,,,,,,22934,2.185,66.24,0,0,0,0,0,0,16.88,186,94,0,0%,0,0
USD,Evergreen Campaigns + Blog Promo - FY25,Active,March Evergreen - APAC/ASEAN - EB Video - Careers Site,Website visits,Sponsored Update,Completed,CPM,"3,333.33",3/1/24,4/1/24,"3,333.23",414454,1989,0.48%,8.04,1.68,253,0,1,0,2020,2274,5167,1.25%,85,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,384673,114090,27.53%,40371,15389,7911,4902,1.27%,1,0.03,84,28,5,1,1,1,1.19%,0,105044,3.946,31.73,0,0,0,0,0,0,37.04,1989,903,0,0%,0,0
USD,Evergreen Campaigns + Blog Promo - FY25,Active,March Evergreen - EMEA - EB Video - Careers Site,Website visits,Sponsored Update,Completed,CPM,"3,333.33",3/1/24,4/1/24,"3,333.25",125118,534,0.43%,26.64,6.24,31,0,2,0,584,617,1477,1.18%,16,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,117182,31000,24.78%,8586,3011,1590,986,0.84%,1,0.11,15,2,0,0,0,0,0%,0,34487,3.628,96.65,0,0,0,0,0,0,37.04,534,325,0,0%,0,0
USD,Evergreen Campaigns + Blog Promo - FY25,Active,March Evergreen - NAMER/LATAM - EB Video - Careers Site,Website visits,Sponsored Update,Completed,CPM,"3,333.33",3/1/24,4/1/24,"3,332.92",109456,578,0.53%,30.45,5.77,47,0,1,0,542,590,1433,1.31%,29,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,103453,26488,24.20%,7391,2626,1388,882,0.85%,1,0.13,28,3,1,0,0,0,0%,0,34630,3.161,96.24,0,0,0,0,0,0,37.03,578,264,0,0%,0,0
USD,Evergreen Campaigns + Blog Promo - FY25,Active,AWN Women's History Month Blog Post Promo - FY25 Q1 [EMEA],Website visits,Sponsored Update,Completed,CPM,"1,500.00",3/25/24,3/31/24,"1,500.00",47612,230,0.48%,31.5,6.52,29,0,0,0,178,207,546,1.15%,21,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,,,,,,,,,,,,,,,,,,,22793,2.089,65.81,0,0,0,0,0,0,16.67,230,109,0,0%,0,0
USD,Evergreen Campaigns + Blog Promo - FY25,Active,AWN Women's History Month Blog Post Promo - FY25 Q1 [APAC/ASEAN],Website visits,Sponsored Update,Completed,CPM,"1,000.00",3/25/24,3/31/24,"1,000.00",112068,470,0.42%,8.92,2.13,140,0,3,0,753,896,1690,1.51%,158,0,0,0,0,0,7,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,,,,,,,,,,,,,,,,,,,55156,2.032,18.13,0,0,0,0,0,0,11.11,470,324,0,0%,0,0
USD,Evergreen Campaigns + Blog Promo - FY25,Active,AWN Women's History Month Blog Post Promo - FY25 Q1 [NAMER],Website visits,Sponsored Update,Completed,CPM,"2,500.00",3/25/24,3/31/24,"2,500.00",44895,301,0.67%,55.69,8.31,36,0,0,0,232,268,683,1.52%,70,0,1,0,0,0,2,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,,,,,,,,,,,,,,,,,,,26515,1.693,94.29,0,0,0,0,0,0,27.78,301,114,0,0%,0,0
USD,"Vancouver, BC Campaigns",Active,Vancouver BC Tech - Workday - FY25 Q1,Website visits,Sponsored Update,Completed,CPM,"2,500.00",3/27/24,4/10/24,"2,499.79",20066,108,0.54%,124.58,23.15,2,0,0,0,137,139,296,1.48%,4,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,18833,5244,26.13%,131,56,39,29,0.15%,1,0.48,4,2,0,0,0,0,0%,0,4775,4.202,523.52,0,0,0,0,0,0,27.78,108,48,0,0%,0,0
